,Year,Player,Country,Club
0,2024,Rodri,Spain,Manchester City
1,2023,Lionel Messi,Argentina,Inter Miami
2,2022,Karim Benzema,France,Real Madrid
3,2021,Lionel Messi,Argentina,Paris Saint-Germain F.C.
4,2019,Lionel Messi,Argentina,Barcelona
5,2018,Luka Modric,Croatia,Real Madrid
6,2017,Cristiano Ronaldo,Portugal,Real Madrid
7,2016,Cristiano Ronaldo,Portugal,Real Madrid
8,2015,Lionel Messi,Argentina,Barcelona
9,2014,Cristiano Ronaldo,Portugal,Real Madrid
10,2013,Cristiano Ronaldo,Portugal,Real Madrid
11,2012,Lionel Messi,Argentina,Barcelona
12,2011,Lionel Messi,Argentina,Barcelona
13,2010,Lionel Messi,Argentina,Barcelona
14,2009,Lionel Messi,Argentina,Barcelona
15,2008,Cristiano Ronaldo,Portugal,Manchester United
16,2007,Kaká,Brazil,Milan
17,2006,Fabio Cannavaro,Italy,Real Madrid
18,2005,Ronaldinho,Brazil,Barcelona
19,2004,Andriy Shevchenko,Ukraine,Milan
20,2003,Pavel Nedvěd,Czechia,Juventus
21,2002,Ronaldo,Brazil,Real Madrid
22,2001,Michael Owen,England,Liverpool
23,2000,Luís Figo,Portugal,Real Madrid
24,1999,Rivaldo,Brazil,Barcelona
25,1998,Zinedine Zidane,France,Juventus
26,1997,Ronaldo,Brazil,Internazionale
27,1996,Matthias Sammer,Germany,Borussia Dortmund
28,1995,George Weah,Liberia,Milan
29,1994,Hristo Stoichkov,Bulgaria,Barcelona
30,1993,Roberto Baggio,Italy,Juventus
31,1992,Marco van Basten,Netherlands,Milan
32,1991,Jean-Pierre Papin,France,Marseille
33,1990,Lothar Matthäus,Germany,Internazionale
34,1989,Marco van Basten,Netherlands,Milan
35,1988,Marco van Basten,Netherlands,Milan
36,1987,Ruud Gullit,Netherlands,Milan
37,1986,Igor Belanov,Soviet Union,Dynamo Kyiv
38,1985,Michel Platini,France,Juventus
39,1984,Michel Platini,France,Juventus
40,1983,Michel Platini,France,Juventus
41,1982,Paolo Rossi,Italy,Juventus
42,1981,Karl-Heinz Rummenigge,West Germany,Bayern Munich
43,1980,Karl-Heinz Rummenigge,West Germany,Bayern Munich
44,1979,Kevin Keegan,England,Hamburg
45,1978,Kevin Keegan,England,Hamburg
46,1977,Allan Simonsen,Denmark,Borussia Mönchengladbach
47,1976,Franz Beckenbauer,West Germany,Bayern Munich
48,1975,Oleg Blokhin,Soviet Union,Dynamo Kyiv
49,1974,Johan Cruyff,Netherlands,Barcelona
50,1973,Johan Cruyff,Netherlands,Barcelona
51,1972,Franz Beckenbauer,West Germany,Bayern Munich
52,1971,Johan Cruyff,Netherlands,Ajax
53,1970,Gerd Müller,West Germany,Bayern Munich
54,1969,Gianni Rivera,Italy,Milan
55,1968,George Best,Northern Ireland,Manchester United
56,1967,Flórián Albert,Hungary,Ferencv rosi TC
57,1966,Bobby Charlton,England,Manchester United
58,1965,Eusébio,Portugal,Benfica
59,1964,Denis Law,Scotland,Manchester United
60,1963,Lev Yashin,Soviet Union,Dynamo Moscow
61,1962,Josef Masopust,Czechoslovakia,Dukla Prague
62,1961,Omar Sívori,Italy,Juventus
63,1960,Luis  Suárez,Spain,Barcelona
64,1959,Alfredo Di Stéfano,Argentina / Spain,Real Madrid
65,1958,Raymond Kopa,France,Real Madrid
66,1957,Alfredo Di Stéfano,Argentina / Spain,Real Madrid
67,1956,Stanley Matthews,England,Blackpool
